date,total,china,usa,vietnam,hongkong,japan,korea_index,oecd_index,ex_rate,oil
2000-01-01,12162424632,1235215271,2609787984,109742698,782348732,1551722070,104.5551,101.9159,1131.07,27.01
2000-02-01,12676042304,1273117309,2554309883,112395157,823990122,1518844843,104.0694,102.0749,1128.8,29.3
2000-03-01,14429703086,1437377223,2946820669,150134562,911648256,1783564618,103.6081,102.1862,1117.19,29.89
2000-04-01,13522040017,1366876604,2698029849,169146208,863243219,1582707525,103.2002,102.2381,1109.76,25.54
2000-05-01,14636754971,1663240667,3167181403,169411680,887081090,1671039709,102.8153,102.2364,1120.01,28.81
2000-06-01,15250939656,1636969297,3214982843,156502370,883530139,1670427579,102.4165,102.1903,1118.73,31.53
2000-07-01,14455655854,1606725442,3255804253,137391132,870993704,1645587937,101.9523,102.1122,1114.86,29.72
2000-08-01,14786880244,1685673813,3267078390,121056169,923675716,1678044413,101.3882,102.0023,1114.57,31.14
2000-09-01,15133379448,1592373209,3510988785,127921283,943856029,1900124085,100.7063,101.8513,1116.5,33.87
2000-10-01,15248067735,1619740904,3471764548,126551005,981958017,1773514357,99.93902,101.6503,1127.31,32.93
2000-11-01,14989067774,1728475871,3331334272,150756897,944141978,1877923709,99.15523,101.3888,1151.15,34.26
2000-12-01,14976554592,1608753969,3582547249,155015425,891627321,1812514974,98.4266,101.0676,1214.4,28.4
2001-01-01,12644929017,1239083390,2703366934,94830841,702872420,1616072581,97.81982,100.7043,1272.82,29.26
2001-02-01,13354073762,1513732501,2502468673,135284913,802615931,1546804634,97.39446,100.3311,1252.44,29.64
2001-03-01,14124891326,1607051165,2855151093,159595798,852738239,1637434941,97.1758,99.98171,1288.43,27.27
2001-04-01,12121109771,1540004834,2427541727,158361600,858202241,1365516173,97.10837,99.68444,1325.55,27.62
2001-05-01,13306959164,1600296077,2511513054,163293890,936811601,1479760006,97.13628,99.44013,1298.46,28.68
2001-06-01,12931941025,1647396857,2669876560,162529118,791948637,1421370438,97.24384,99.2213,1293.83,27.58
2001-07-01,11392256710,1532212464,2434080251,134354511,698154966,1206250955,97.4566,99.01754,1302.6,26.47
2001-08-01,11766192458,1488933965,2586477504,131830895,698675179,1210560889,97.7769,98.83878,1285.39,27.31
2001-09-01,12447323670,1515586442,2837276788,137161302,774206111,1298082968,98.20766,98.70084,1293.7,25.93
2001-10-01,12086028283,1485592377,2593946857,139408674,792686908,1233369518,98.77131,98.64075,1302.6,22.21
2001-11-01,12348966889,1517838556,2711414606,158303058,774088862,1328742455,99.45741,98.67867,1284,19.67
2001-12-01,11914472044,1502461022,2377681032,156708036,768677224,1161800697,100.2064,98.79727,1289.66,19.4
2002-01-01,11381879453,1471487338,2496356532,126243658,710914959,1054722674,100.9429,98.96349,1317.6,19.73
2002-02-01,11023036912,1314887195,2267664325,118939281,658025209,1065870276,101.5902,99.13837,1318.72,20.76
2002-03-01,13251322898,1776786999,2745682039,162112998,849361366,1194416507,102.0817,99.28693,1322.51,24.44
2002-04-01,13184534346,1857224615,2754209141,197481812,843910378,1187275726,102.3485,99.37627,1318.93,26.26
2002-05-01,14173176611,1941925212,2836154720,281202443,897000426,1282811471,102.3897,99.39031,1266.06,26.95
2002-06-01,12894088493,1838409871,2381101704,198034906,938056325,1220583003,102.2595,99.33192,1223.47,25.55
2002-07-01,13395178905,2010716667,2708340089,168237505,903056331,1302584242,102.0314,99.23101,1185.12,26.94
2002-08-01,13959109880,2034950003,2745114596,170608783,856444734,1244127422,101.734,99.11121,1196.37,28.2
2002-09-01,13900763481,2107709414,2745226658,175078338,830116731,1287483718,101.3951,98.98662,1208.5,29.67
2002-10-01,15084658742,2472827761,3110798556,219061171,890016045,1409834404,101.0093,98.86366,1241.13,28.86
2002-11-01,15196561477,2396004989,3028530917,215989041,888201439,1474813167,100.5675,98.73706,1211.91,26.19
2002-12-01,15026216602,2530655690,2961008886,207197508,880431442,1418660277,100.0521,98.5972,1208.91,29.39
2003-01-01,14319930962,2289754881,2612314009,160001619,882496951,1395928617,99.48151,98.45699,1179.46,32.7
2003-02-01,13337144558,2379306564,2383517948,168340812,892958358,1225944611,98.94657,98.33842,1191.27,35.73
2003-03-01,15378850237,2659292622,2749138408,252511469,1072609239,1371507580,98.53373,98.27312,1233.68,33.16
2003-04-01,15720592277,2560138383,2807774807,254067765,1138131661,1406227585,98.28757,98.28885,1231.51,28.14
2003-05-01,14676091579,2475020616,2633439848,236404469,1119015400,1350886060,98.22107,98.38055,1200.14,28.07
2003-06-01,15656327385,2609510640,2803208194,228234538,1154056078,1319147409,98.32925,98.53647,1194.07,30.52
2003-07-01,15431714254,2964910238,2497304252,194171150,1103554595,1382143845,98.57484,98.7387,1181.55,30.7
2003-08-01,15375268390,3078356503,2585265507,164080059,1192550868,1298388017,98.90521,98.97108,1178.32,31.6
2003-09-01,17021082330,3274210504,3034998707,192545654,1274404786,1437461044,99.25294,99.21768,1166.03,28.31
2003-10-01,18929664626,3540626175,3425960263,239220981,1518784077,1725329265,99.58062,99.45863,1166.04,30.35
2003-11-01,18242088134,3448459677,3213552727,222750947,1511066342,1698328371,99.86736,99.66798,1185.21,31.06
2003-12-01,19728688098,3830128278,3472926852,248904759,1794107234,1664844557,100.1021,99.82826,1192.85,32.14
2004-01-01,18987120155,3320938836,2644698134,163655810,1752427343,1552892077,100.2789,99.93563,1184.64,34.22
2004-02-01,19136967537,3686545830,3097012039,219836657,1623980661,1732592270,100.3851,100.0031,1166.96,34.5
2004-03-01,21174854848,4030541099,3534532863,290300792,2000495364,1911030362,100.4227,100.0376,1166.33,36.72
2004-04-01,21483356558,4097864960,3544622758,307250394,1922309600,1818283540,100.4166,100.048,1150.81,36.62
2004-05-01,20834258911,4296986705,3559012806,289277128,1680079037,1863901016,100.3633,100.0418,1177.01,40.28
2004-06-01,21657111358,4113746869,4106098212,236283306,1396816496,1696810982,100.2948,100.0306,1158.54,38.05
2004-07-01,21003794339,4479869971,3623191685,242243975,1290155367,1836487014,100.2292,100.0246,1158.12,40.81
2004-08-01,19798968731,4101366165,3470222358,221873125,1375518159,1604839240,100.1611,100.0283,1158.96,44.88
2004-09-01,20831133275,4167502231,3616201442,315686171,1355963458,1728688553,100.0862,100.0453,1147.8,45.94
2004-10-01,22663288550,4554437724,4037437608,322247840,1243990637,1889739717,100.0028,100.0651,1143.52,53.09
2004-11-01,23076611989,4470634073,3809459511,308761531,1255319871,2033609169,99.92953,100.0733,1090.1,48.48
2004-12-01,23197205701,4442741000,3806703574,338156929,1230056169,2032462605,99.88475,100.0597,1051.44,43.26
2005-01-01,22454025470,4478629894,3478719869,263408894,1119491360,1873433140,99.89077,100.0167,1038.32,46.85
2005-02-01,20401096466,4067751554,2943672615,238002074,1040786715,1724000690,99.94366,99.94788,1022.69,48.05
2005-03-01,23952499856,5100932503,3847122869,302120214,1324503664,2090276572,100.0007,99.86745,1007.28,54.63
2005-04-01,22872504728,4934865151,3461143238,320401485,1212049720,1927815252,100.0456,99.79613,1011,53.22
